run_id	exp_id	profile	stage	status	return_code	family	model_id	corpus_id	dataset_id	view	train_prop	axis_values_json	make_vars_json	overrides_json	metrics_path	log_path	started_at	finished_at	duration_s
ideo_balancing_sweep_run_000000	ideo_balancing_sweep	ideo_quick	pipeline	success	0	sklearn	tfidf_svm_quick		web1	ideology_global	0.8	"{""dataset"": ""web1_only"", ""balance_strategy"": ""no_balance"", ""family_model"": ""sklearn_svm""}"	"{""HARDWARE_PRESET"": ""small"", ""TRAIN_PROP"": ""0.8"", ""MAX_DOCS_SKLEARN"": ""100"", ""MAX_DOCS_SPACY"": ""100"", ""MAX_DOCS_HF"": ""20"", ""BALANCE_STRATEGY"": ""none"", ""FAMILY"": ""sklearn"", ""SEED"": ""42""}"	"{""view"": ""ideology_global"", ""max_docs_global"": 1500, ""dataset_id"": ""web1"", ""data.corpus_ids"": [""web1""], ""data.merge_mode"": ""single"", ""analysis.compare_by"": [], ""families"": [""sklearn""], ""models_sklearn"": [""tfidf_svm_quick""]}"	reports/web1/ideology_global/sklearn/tfidf_svm_quick/metrics.json	superior/ideo_balancing_sweep/logs/ideo_balancing_sweep_run_000000.log	1764157340.8131251	1764157439.8348339	99.02172207832336
ideo_balancing_sweep_run_000001	ideo_balancing_sweep	ideo_quick	pipeline	success	0	spacy	spacy_cnn_quick		web1	ideology_global	0.8	"{""dataset"": ""web1_only"", ""balance_strategy"": ""no_balance"", ""family_model"": ""spacy_cnn""}"	"{""HARDWARE_PRESET"": ""small"", ""TRAIN_PROP"": ""0.8"", ""MAX_DOCS_SKLEARN"": ""100"", ""MAX_DOCS_SPACY"": ""100"", ""MAX_DOCS_HF"": ""20"", ""BALANCE_STRATEGY"": ""none"", ""FAMILY"": ""spacy"", ""SEED"": ""43""}"	"{""view"": ""ideology_global"", ""max_docs_global"": 1500, ""dataset_id"": ""web1"", ""data.corpus_ids"": [""web1""], ""data.merge_mode"": ""single"", ""analysis.compare_by"": [], ""families"": [""spacy""], ""models_spacy"": [""spacy_cnn_quick""]}"	reports/web1/ideology_global/spacy/spacy_cnn_quick/metrics.json	superior/ideo_balancing_sweep/logs/ideo_balancing_sweep_run_000001.log	1764157439.835815	1764157512.3556206	72.51984214782715
ideo_balancing_sweep_run_000002	ideo_balancing_sweep	ideo_quick	pipeline	success	0	sklearn	tfidf_svm_quick		web1	ideology_global	0.8	"{""dataset"": ""web1_only"", ""balance_strategy"": ""oversample_parity"", ""family_model"": ""sklearn_svm""}"	"{""HARDWARE_PRESET"": ""small"", ""TRAIN_PROP"": ""0.8"", ""MAX_DOCS_SKLEARN"": ""100"", ""MAX_DOCS_SPACY"": ""100"", ""MAX_DOCS_HF"": ""20"", ""BALANCE_STRATEGY"": ""oversample"", ""BALANCE_PRESET"": ""parity"", ""FAMILY"": ""sklearn"", ""SEED"": ""44""}"	"{""view"": ""ideology_global"", ""max_docs_global"": 1500, ""dataset_id"": ""web1"", ""data.corpus_ids"": [""web1""], ""data.merge_mode"": ""single"", ""analysis.compare_by"": [], ""families"": [""sklearn""], ""models_sklearn"": [""tfidf_svm_quick""]}"	reports/web1/ideology_global/sklearn/tfidf_svm_quick/metrics.json	superior/ideo_balancing_sweep/logs/ideo_balancing_sweep_run_000002.log	1764157512.3567345	1764157566.8710663	54.514365434646606
ideo_balancing_sweep_run_000003	ideo_balancing_sweep	ideo_quick	pipeline	success	0	spacy	spacy_cnn_quick		web1	ideology_global	0.8	"{""dataset"": ""web1_only"", ""balance_strategy"": ""oversample_parity"", ""family_model"": ""spacy_cnn""}"	"{""HARDWARE_PRESET"": ""small"", ""TRAIN_PROP"": ""0.8"", ""MAX_DOCS_SKLEARN"": ""100"", ""MAX_DOCS_SPACY"": ""100"", ""MAX_DOCS_HF"": ""20"", ""BALANCE_STRATEGY"": ""oversample"", ""BALANCE_PRESET"": ""parity"", ""FAMILY"": ""spacy"", ""SEED"": ""45""}"	"{""view"": ""ideology_global"", ""max_docs_global"": 1500, ""dataset_id"": ""web1"", ""data.corpus_ids"": [""web1""], ""data.merge_mode"": ""single"", ""analysis.compare_by"": [], ""families"": [""spacy""], ""models_spacy"": [""spacy_cnn_quick""]}"	reports/web1/ideology_global/spacy/spacy_cnn_quick/metrics.json	superior/ideo_balancing_sweep/logs/ideo_balancing_sweep_run_000003.log	1764157566.8756645	1764157639.8951068	73.01946020126343
