run_id	exp_id	profile	stage	repeat_index	axis_values_json	make_vars_json	overrides_json	resource_class
ideo_balancing_sweep_run_000000	ideo_balancing_sweep	ideo_quick	pipeline	0	"{""dataset"": ""web1_only"", ""balance_strategy"": ""no_balance"", ""family_model"": ""sklearn_svm""}"	"{""HARDWARE_PRESET"": ""small"", ""TRAIN_PROP"": ""0.8"", ""MAX_DOCS_SKLEARN"": ""100"", ""MAX_DOCS_SPACY"": ""100"", ""MAX_DOCS_HF"": ""20"", ""BALANCE_STRATEGY"": ""none"", ""FAMILY"": ""sklearn"", ""SEED"": ""42""}"	"{""view"": ""ideology_global"", ""max_docs_global"": 1500, ""dataset_id"": ""web1"", ""data.corpus_ids"": [""web1""], ""data.merge_mode"": ""single"", ""analysis.compare_by"": [], ""families"": [""sklearn""], ""models_sklearn"": [""tfidf_svm_quick""]}"	light
ideo_balancing_sweep_run_000001	ideo_balancing_sweep	ideo_quick	pipeline	0	"{""dataset"": ""web1_only"", ""balance_strategy"": ""no_balance"", ""family_model"": ""spacy_cnn""}"	"{""HARDWARE_PRESET"": ""small"", ""TRAIN_PROP"": ""0.8"", ""MAX_DOCS_SKLEARN"": ""100"", ""MAX_DOCS_SPACY"": ""100"", ""MAX_DOCS_HF"": ""20"", ""BALANCE_STRATEGY"": ""none"", ""FAMILY"": ""spacy"", ""SEED"": ""43""}"	"{""view"": ""ideology_global"", ""max_docs_global"": 1500, ""dataset_id"": ""web1"", ""data.corpus_ids"": [""web1""], ""data.merge_mode"": ""single"", ""analysis.compare_by"": [], ""families"": [""spacy""], ""models_spacy"": [""spacy_cnn_quick""]}"	heavy
ideo_balancing_sweep_run_000002	ideo_balancing_sweep	ideo_quick	pipeline	0	"{""dataset"": ""web1_only"", ""balance_strategy"": ""oversample_parity"", ""family_model"": ""sklearn_svm""}"	"{""HARDWARE_PRESET"": ""small"", ""TRAIN_PROP"": ""0.8"", ""MAX_DOCS_SKLEARN"": ""100"", ""MAX_DOCS_SPACY"": ""100"", ""MAX_DOCS_HF"": ""20"", ""BALANCE_STRATEGY"": ""oversample"", ""BALANCE_PRESET"": ""parity"", ""FAMILY"": ""sklearn"", ""SEED"": ""44""}"	"{""view"": ""ideology_global"", ""max_docs_global"": 1500, ""dataset_id"": ""web1"", ""data.corpus_ids"": [""web1""], ""data.merge_mode"": ""single"", ""analysis.compare_by"": [], ""families"": [""sklearn""], ""models_sklearn"": [""tfidf_svm_quick""]}"	light
ideo_balancing_sweep_run_000003	ideo_balancing_sweep	ideo_quick	pipeline	0	"{""dataset"": ""web1_only"", ""balance_strategy"": ""oversample_parity"", ""family_model"": ""spacy_cnn""}"	"{""HARDWARE_PRESET"": ""small"", ""TRAIN_PROP"": ""0.8"", ""MAX_DOCS_SKLEARN"": ""100"", ""MAX_DOCS_SPACY"": ""100"", ""MAX_DOCS_HF"": ""20"", ""BALANCE_STRATEGY"": ""oversample"", ""BALANCE_PRESET"": ""parity"", ""FAMILY"": ""spacy"", ""SEED"": ""45""}"	"{""view"": ""ideology_global"", ""max_docs_global"": 1500, ""dataset_id"": ""web1"", ""data.corpus_ids"": [""web1""], ""data.merge_mode"": ""single"", ""analysis.compare_by"": [], ""families"": [""spacy""], ""models_spacy"": [""spacy_cnn_quick""]}"	heavy
